               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020115,           0.0012956,           0.0026515,             0.67558,             0.52221,             0.55984,              0.3736,           0.0070514,           0.0035833,           0.0025543,             0.13243,          0.00098685,          0.00098685
                   1,            0.020219,           0.0012159,           0.0026251,             0.66479,             0.52437,             0.55655,             0.37047,           0.0070504,           0.0035418,           0.0025386,            0.078262,           0.0019572,           0.0019572
                   2,            0.020408,           0.0012204,           0.0026978,             0.67368,             0.51864,              0.5531,             0.36223,           0.0071338,           0.0035709,           0.0026003,            0.024076,           0.0029108,           0.0029108
                   3,            0.020466,           0.0012227,           0.0027497,             0.68353,             0.52104,             0.55369,             0.36583,           0.0070694,           0.0035669,           0.0025825,            0.003255,            0.003255,            0.003255
                   4,            0.020397,              0.0012,           0.0027259,             0.68754,             0.51741,             0.55327,             0.36703,           0.0070449,           0.0035866,           0.0025935,            0.003255,            0.003255,            0.003255
                   5,            0.020309,           0.0011895,           0.0027086,             0.70637,             0.51507,             0.55402,             0.36651,           0.0070367,           0.0035545,            0.002604,           0.0032266,           0.0032266,           0.0032266
                   6,            0.020424,           0.0012045,           0.0026855,             0.70774,             0.52087,             0.55899,             0.37008,           0.0070263,           0.0035417,           0.0025446,           0.0031983,           0.0031983,           0.0031983
                   7,            0.020222,           0.0011856,           0.0026608,              0.6973,             0.52165,             0.55774,             0.36984,           0.0070044,           0.0035399,           0.0025659,           0.0031699,           0.0031699,           0.0031699
                   8,            0.020302,           0.0011939,           0.0027217,             0.70696,             0.52127,             0.55882,              0.3711,           0.0069896,           0.0035355,           0.0025605,           0.0031416,           0.0031416,           0.0031416
                   9,            0.020104,            0.001178,           0.0026716,             0.70451,             0.52319,             0.56078,             0.37089,           0.0069985,           0.0035384,           0.0025493,           0.0031132,           0.0031132,           0.0031132
                  10,            0.020188,           0.0011825,           0.0027341,             0.70123,             0.52195,             0.56104,             0.37248,           0.0069779,           0.0035395,           0.0025533,           0.0030849,           0.0030849,           0.0030849
                  11,            0.020003,           0.0011634,           0.0026593,             0.70046,             0.52375,             0.56196,             0.37355,           0.0069654,           0.0035368,           0.0025563,           0.0030566,           0.0030566,           0.0030566
                  12,             0.02013,           0.0011649,           0.0027124,             0.70221,             0.52368,             0.56231,             0.37386,           0.0069586,           0.0035353,           0.0025685,           0.0030282,           0.0030282,           0.0030282
                  13,            0.020091,           0.0011606,           0.0026282,             0.70148,             0.52218,             0.56179,             0.37436,           0.0069471,           0.0035348,           0.0025925,           0.0029999,           0.0029999,           0.0029999
                  14,            0.019933,           0.0011563,           0.0026802,             0.70079,             0.52089,             0.56047,             0.37407,           0.0069374,           0.0035338,           0.0026343,           0.0029715,           0.0029715,           0.0029715
                  15,            0.019915,           0.0011628,           0.0026242,             0.70509,             0.52174,             0.56091,             0.37479,           0.0069309,           0.0035357,           0.0026348,           0.0029432,           0.0029432,           0.0029432
                  16,            0.019898,           0.0011409,           0.0026847,             0.71144,             0.52196,             0.56176,             0.37715,           0.0069151,           0.0035355,           0.0026298,           0.0029148,           0.0029148,           0.0029148
                  17,            0.019812,           0.0011471,            0.002623,             0.71269,             0.52282,             0.56175,             0.37919,           0.0068968,           0.0035344,            0.002632,           0.0028865,           0.0028865,           0.0028865
                  18,            0.019901,           0.0011491,           0.0026519,             0.71197,             0.52536,             0.56278,             0.38226,           0.0068768,           0.0035378,           0.0026159,           0.0028581,           0.0028581,           0.0028581
                  19,            0.019854,           0.0011508,           0.0026326,             0.71378,             0.52616,             0.56354,             0.38427,           0.0068634,           0.0035394,           0.0026094,           0.0028298,           0.0028298,           0.0028298
                  20,            0.019814,           0.0011311,           0.0026359,              0.7104,              0.5259,             0.56357,             0.38424,            0.006861,           0.0035404,           0.0026219,           0.0028014,           0.0028014,           0.0028014
                  21,            0.019713,           0.0011344,           0.0026139,             0.70629,             0.52555,             0.56261,             0.38453,           0.0068501,           0.0035406,            0.002649,           0.0027731,           0.0027731,           0.0027731
                  22,            0.019775,           0.0011387,           0.0026202,             0.70807,             0.52847,              0.5636,             0.38597,           0.0068325,           0.0035403,           0.0026381,           0.0027448,           0.0027448,           0.0027448
                  23,            0.019737,            0.001126,           0.0025371,             0.71484,             0.52786,              0.5641,             0.38647,           0.0068234,            0.003538,           0.0026397,           0.0027164,           0.0027164,           0.0027164
                  24,             0.01969,           0.0011304,           0.0026155,               0.716,             0.52692,             0.56404,             0.38658,            0.006812,           0.0035373,           0.0026482,           0.0026881,           0.0026881,           0.0026881
                  25,            0.019587,           0.0011206,           0.0025609,             0.71831,             0.52754,             0.56484,             0.38745,           0.0068068,           0.0035389,           0.0026498,           0.0026597,           0.0026597,           0.0026597
