class_label,x_center,y_center,width,height,rotate_image_path,rotate_label_path
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00102_jpg_large_orange_cone_12_50.jpg,./augmentation/labels/BME_00102_jpg_large_orange_cone_12_50.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00102_jpg_large_orange_cone_12_100.jpg,./augmentation/labels/BME_00102_jpg_large_orange_cone_12_100.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00102_jpg_large_orange_cone_12_150.jpg,./augmentation/labels/BME_00102_jpg_large_orange_cone_12_150.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00102_jpg_large_orange_cone_12_200.jpg,./augmentation/labels/BME_00102_jpg_large_orange_cone_12_200.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00102_jpg_large_orange_cone_12_250.jpg,./augmentation/labels/BME_00102_jpg_large_orange_cone_12_250.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00113_jpg_large_orange_cone_0_50.jpg,./augmentation/labels/BME_00113_jpg_large_orange_cone_0_50.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00113_jpg_large_orange_cone_0_100.jpg,./augmentation/labels/BME_00113_jpg_large_orange_cone_0_100.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00113_jpg_large_orange_cone_0_150.jpg,./augmentation/labels/BME_00113_jpg_large_orange_cone_0_150.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00113_jpg_large_orange_cone_0_200.jpg,./augmentation/labels/BME_00113_jpg_large_orange_cone_0_200.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00113_jpg_large_orange_cone_0_250.jpg,./augmentation/labels/BME_00113_jpg_large_orange_cone_0_250.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_large_orange_cone_0_50.jpg,./augmentation/labels/BME_00119_jpg_large_orange_cone_0_50.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_large_orange_cone_0_100.jpg,./augmentation/labels/BME_00119_jpg_large_orange_cone_0_100.txt
1,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_large_orange_cone_0_150.jpg,./augmentation/labels/BME_00119_jpg_large_orange_cone_0_150.txt
