name,box_x1,box_y1,box_x2,box_y2,path,class_label,image_path
large_orange_cone,750,836,802,924,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00056.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00056.png
large_orange_cone,858,808,892,868,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00056.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00056.png
large_orange_cone,1104,808,1132,864,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00056.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00056.png
large_orange_cone,1230,830,1282,914,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00056.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00056.png
large_orange_cone,431,866,498,965,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00174.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00174.png
large_orange_cone,517,799,539,826,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00174.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00174.png
large_orange_cone,361,804,374,835,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00174.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00174.png
large_orange_cone,789,832,839,910,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00102.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00102.png
large_orange_cone,1134,828,1174,906,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00102.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00102.png
large_orange_cone,527,896,613,1042,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00102.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00102.png
large_orange_cone,1343,890,1431,1018,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00102.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00102.png
large_orange_cone,271,966,449,1200,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00209.png.json,1,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00209.png
