class_label,x_center,y_center,width,height,rotate_image_path,rotate_label_path
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00085_jpg_orange_cone_0_50.jpg,./augmentation/labels/BME_00085_jpg_orange_cone_0_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00085_jpg_orange_cone_0_100.jpg,./augmentation/labels/BME_00085_jpg_orange_cone_0_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00085_jpg_orange_cone_0_150.jpg,./augmentation/labels/BME_00085_jpg_orange_cone_0_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00085_jpg_orange_cone_0_200.jpg,./augmentation/labels/BME_00085_jpg_orange_cone_0_200.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00085_jpg_orange_cone_0_250.jpg,./augmentation/labels/BME_00085_jpg_orange_cone_0_250.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00117_jpg_orange_cone_1_50.jpg,./augmentation/labels/BME_00117_jpg_orange_cone_1_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00117_jpg_orange_cone_1_100.jpg,./augmentation/labels/BME_00117_jpg_orange_cone_1_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00117_jpg_orange_cone_1_150.jpg,./augmentation/labels/BME_00117_jpg_orange_cone_1_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00117_jpg_orange_cone_1_200.jpg,./augmentation/labels/BME_00117_jpg_orange_cone_1_200.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00117_jpg_orange_cone_1_250.jpg,./augmentation/labels/BME_00117_jpg_orange_cone_1_250.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_orange_cone_2_50.jpg,./augmentation/labels/BME_00119_jpg_orange_cone_2_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_orange_cone_2_100.jpg,./augmentation/labels/BME_00119_jpg_orange_cone_2_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_orange_cone_2_150.jpg,./augmentation/labels/BME_00119_jpg_orange_cone_2_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_orange_cone_2_200.jpg,./augmentation/labels/BME_00119_jpg_orange_cone_2_200.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00119_jpg_orange_cone_2_250.jpg,./augmentation/labels/BME_00119_jpg_orange_cone_2_250.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_0_50.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_0_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_0_100.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_0_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_0_150.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_0_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_0_200.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_0_200.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_0_250.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_0_250.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_2_50.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_2_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_2_100.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_2_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_2_150.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_2_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_2_200.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_2_200.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_2_250.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_2_250.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_3_50.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_3_50.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_3_100.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_3_100.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_3_150.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_3_150.txt
2,0.5,0.5,1.0,1.0,./augmentation/images/BME_00150_jpg_orange_cone_3_200.jpg,./augmentation/labels/BME_00150_jpg_orange_cone_3_200.txt
