,class_label,class_name,x_center,y_center,width,height,image_path,label_path
0,0,blue_cone,0.5,0.5,1.0,1.0,./data/images/BME_00020_jpg_blue_cone_5.jpg,./data/labels/BME_00020_jpg_blue_cone_5.txt
1,4,yellow_cone,0.5,0.5,1.0,1.0,./data/images/BME_00020_jpg_yellow_cone_8.jpg,./data/labels/BME_00020_jpg_yellow_cone_8.txt
2,4,yellow_cone,0.5,0.5,1.0,1.0,./data/images/BME_00020_jpg_yellow_cone_9.jpg,./data/labels/BME_00020_jpg_yellow_cone_9.txt
3,4,yellow_cone,0.5,0.5,1.0,1.0,./data/images/BME_00041_jpg_yellow_cone_3.jpg,./data/labels/BME_00041_jpg_yellow_cone_3.txt
4,4,yellow_cone,0.5,0.5,1.0,1.0,./data/images/BME_00062_jpg_yellow_cone_38.jpg,./data/labels/BME_00062_jpg_yellow_cone_38.txt
5,2,orange_cone,0.5,0.5,1.0,1.0,./data/images/BME_00085_jpg_orange_cone_0.jpg,./data/labels/BME_00085_jpg_orange_cone_0.txt
6,0,blue_cone,0.5,0.5,1.0,1.0,./data/images/BME_00092_jpg_blue_cone_6.jpg,./data/labels/BME_00092_jpg_blue_cone_6.txt
7,0,blue_cone,0.5,0.5,1.0,1.0,./data/images/BME_00102_jpg_blue_cone_1.jpg,./data/labels/BME_00102_jpg_blue_cone_1.txt
8,1,large_orange_cone,0.5,0.5,1.0,1.0,./data/images/BME_00102_jpg_large_orange_cone_12.jpg,./data/labels/BME_00102_jpg_large_orange_cone_12.txt
9,4,yellow_cone,0.5,0.5,1.0,1.0,./data/images/BME_00102_jpg_yellow_cone_21.jpg,./data/labels/BME_00102_jpg_yellow_cone_21.txt
10,1,large_orange_cone,0.5,0.5,1.0,1.0,./data/images/BME_00113_jpg_large_orange_cone_0.jpg,./data/labels/BME_00113_jpg_large_orange_cone_0.txt
11,2,orange_cone,0.5,0.5,1.0,1.0,./data/images/BME_00117_jpg_orange_cone_1.jpg,./data/labels/BME_00117_jpg_orange_cone_1.txt
