name,box_x1,box_y1,box_x2,box_y2,path,class_label,image_path
unknown_cone,1447,787,1458,799,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00169.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00169.png
unknown_cone,1508,789,1517,800,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00169.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00169.png
unknown_cone,1568,790,1580,800,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00169.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00169.png
unknown_cone,1612,791,1624,805,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00169.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00169.png
unknown_cone,1688,916,1708,944,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00210.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00210.png
unknown_cone,1826,914,1848,944,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00210.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00210.png
unknown_cone,1926,906,1950,936,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00210.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00210.png
unknown_cone,358,954,379,974,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00170.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00170.png
unknown_cone,1840,954,1870,994,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00218.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00218.png
unknown_cone,2032,960,2060,1002,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00218.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00218.png
unknown_cone,1519,1007,1537,1033,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00202.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00202.png
unknown_cone,1630,1020,1650,1042,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00202.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00202.png
unknown_cone,1715,1018,1737,1046,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00202.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00202.png
unknown_cone,1822,1082,1856,1128,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00202.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00202.png
unknown_cone,1786,959,1811,993,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00212.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00212.png
unknown_cone,1953,963,1979,998,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00212.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00212.png
unknown_cone,1446,802,1462,824,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,1316,815,1328,837,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,316,920,334,944,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,246,916,262,942,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,320,899,336,919,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,444,880,458,898,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,656,844,668,860,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
unknown_cone,188,893,202,913,./fsoco_bounding_boxes_train/pwrrt/ann/pwrrt_00024.png.json,3,./fsoco_bounding_boxes_train/pwrrt/img/pwrrt_00024.png
